,antiguedad,calle,cant. baños,cant. cocheras,cant. dormitorios,cant. plantas,enlace,precio,sup. cubierta,sup. terreno
253,50,belgrano,2,1,3,1,/casa-en-venta-en-banfield-5-ambientes--11583711,160000,120,324
254,20,cabrera,2,1,3,2,/casa-en-venta-en-banfield-4-ambientes--11585336,140000,125,90
255,24,gener josé de san martín,2,1,3,1,/casa-en-venta-en-banfield-4-ambientes--11593772,340000,140,"273,39"
256,15,fonrouge,2,2,3,2,/casa-en-venta-en-banfield-4-ambientes--11595205,279000,200,360
257,53,gener arenes,1,0,3,1,/casa-en-venta-en-banfield-4-ambientes--8902871,140000,220,263
258,22,manuel castro,3,4,3,1,/casa-en-venta-en-banfield-4-ambientes--11600531,830000,320,500
259,17,manuel castro,3,2,4,1,/casa-en-venta-en-banfield-4-ambientes--11600967,570000,263,481
260,50,darragueira,4,1,4,2,/casa-en-venta-en-banfield--11603030,260000,240,455
261,66,chacabuco,3,0,6,1,/casa-en-venta-en-banfield-8-ambientes--11617843,150000,250,127
262,22,tomás godoy cruz,2,1,3,1,/casa-en-venta-en-banfield-4-ambientes--10839687,179000,173,84
263,33,rodriguez peña,3,3,3,2,/casa-en-venta-en-banfield-5-ambientes--11144612,299900,319,"431,70"
264,21,yapeyú,3,2,3,3,/casa-en-venta-en-banfield-5-ambientes--11600612,335000,250,326
265,32,merlin,1,1,2,1,/casa-en-venta-en-banfield-3-ambientes--11637793,90000,100,300
266,16,de septiembre,2,1,2,1,/casa-en-venta-en-banfield-3-ambientes--11647314,180000,127,409
267,25,alfredo pacios y minetto,2,1,6,2,/casa-en-venta-en-banfield-8-ambientes--11647487,125000,150,267
